company_id,month,net_bank,inflow_op,outflow_op,debt_service,transfer_net,out_salary,out_social_security,out_tax,out_fin_cost,n_tx,net_op,cash_end,cash_min,days_negative,saldo_inconsistente,net_op_3m,inflow_op_3m,outflow_op_3m,debt_service_3m,margin_3m,runway_m,debt_service_ratio_3m,hist_months,historia_corta,overdue_amt,sales_3m,pct_vencido,dso,payables_overdue90,payables_overdue90_recent,tiene_facturas
COMP_0001,2026-01,9360.989999999998,29130.0,19769.010000000002,0.0,0.0,11601.2,6436.14,0.0,0.0,7.0,9360.989999999998,45469.680000000015,45469.680000000015,0.0,False,,,,,,,,1,True,175513.17999999993,154580.18,1.135418395812451,20.352941176470587,124.99,0.0,True
COMP_0001,2026-02,9633.069999999998,81237.97,71604.9,0.0,0.0,11616.1,6084.31,15151.83,0.0,24.0,9633.070000000007,55102.75000000001,28448.870000000017,0.0,False,,,,,,,,2,True,214054.86,180380.84999999998,1.1866828435501884,32.333333333333336,1852.8700000000001,1727.88,True
COMP_0001,2026-03,-1172.6399999999976,45901.58,47074.22,0.0,0.0,12149.41,6091.84,0.0,30.0,18.0,-1172.6399999999994,53930.11,26922.47000000001,0.0,False,17821.420000000006,156269.55,138448.13,0.0,0.06046946352183556,1.1685988824840032,0.0,3,True,276061.36,219019.87999999998,1.2604397372512486,32.333333333333336,26368.239999999998,26243.25,True
COMP_0001,2026-04,-26398.919999999995,57466.23,102365.15,0.0,18500.0,13207.23,6329.6,33122.28,0.0,32.0,-44898.91999999999,27531.190000000002,20647.280000000002,0.0,False,-36438.48999999998,184605.78,221044.27,0.0,-0.089827401722248,0.37365171239227335,0.0,4,True,346388.54999999993,218634.36,1.5843280534678994,32.333333333333336,26626.23,26501.239999999998,True
COMP_0001,2026-05,38708.67,126728.32,88019.65,0.0,0.0,15394.28,11037.15,0.0,0.0,30.0,38708.67000000001,66239.86000000002,20739.340000000004,0.0,False,-7362.889999999978,230096.13,237459.02,0.0,-0.01574763961000104,0.8368584187705316,0.0,5,True,155345.13,217354.76,0.714707743230468,117.35135135135135,4066.48,2213.61,True
COMP_0001,2026-06,-47962.31,925.95,48888.26,0.0,0.0,0.0,7516.81,0.0,30.0,22.0,-47962.310000000005,18277.550000000007,18277.550000000007,0.0,False,-54152.55999999998,185120.5,239273.06,0.0,-0.12759986273118748,0.22916349212067594,0.0,6,False,73383.46999999997,231270.81,0.3173053702713281,76.84234234234235,26236.34,24155.99,True
COMP_0001,2026-07,-9389.190000000002,104172.7,113561.89,0.0,0.0,31142.9,0.0,31341.739999999998,0.0,33.0,-9389.190000000002,8888.360000000011,8888.360000000011,0.0,False,-18642.829999999994,231826.97,250469.8,0.0,-0.0386542708963197,0.10646025987963433,0.0,7,False,147497.07000000007,274620.69,0.5370938001794404,54.56156156156157,60159.909999999996,57909.46,True
COMP_0001,2026-08,28094.130000000005,102924.99,74830.86,0.0,0.0,13206.64,13789.67,0.0,0.0,32.0,28094.130000000005,36982.49000000002,8888.360000000011,0.0,False,-29257.370000000003,208023.64,237281.01,0.0,-0.06570191889979142,0.467578378901877,0.0,8,False,249679.9800000002,295445.2,0.845097432620331,29.111111111111114,105719.81,103866.94,True
COMP_0002,2024-09,114591.73,225888.6,111296.87,0.0,0.0,0.0,0.0,17963.26,0.0,86.0,114591.73000000001,647509.9400000001,494623.55000000005,0.0,False,,,,,,,,1,True,,,,,,,False
COMP_0002,2024-10,574976.01,1204870.91,629894.9,0.0,0.0,0.0,0.0,104196.95999999999,0.0,91.0,574976.0099999999,1222485.9500000002,652985.4400000002,0.0,False,,,,,,,,2,True,,,,,,,False
COMP_0002,2024-11,-366430.4,271957.12,638387.52,0.0,0.0,0.0,0.0,87909.58,0.0,57.0,-366430.4,856055.5500000002,848748.5800000001,0.0,False,323137.33999999985,1702716.63,1379579.29,0.0,0.10483657260267205,1.8615578449282175,0.0,3,True,,,,,,,False
COMP_0002,2024-12,-257922.47,809725.53,1067648.0,0.0,0.0,0.0,0.0,97866.59,0.0,65.0,-257922.46999999997,598133.0800000002,598133.0800000002,0.0,False,-49376.86000000013,2286553.56,2335930.42,0.0,-0.010681888831554182,0.7681732403656102,0.0,4,True,,,,,,,False
COMP_0002,2025-01,174497.27,1112994.55,938460.0,37.28,0.0,0.0,0.0,0.0,0.0,92.0,174534.55000000005,772630.3500000001,598133.0800000002,0.0,False,-449818.31999999995,2194677.2,2644495.52,37.28,-0.09295355756593038,0.8764964933652072,1.6986552737687346e-05,5,True,,,,,,,False
COMP_0002,2025-02,-117882.77000000002,446969.27999999997,564852.05,0.0,0.0,2725.06,0.0,19238.64,0.0,64.0,-117882.77000000008,654747.5800000001,651629.78,0.0,False,-201270.69,2369689.36,2570960.05,37.28,-0.040737699297712364,0.7640113816626596,1.5732019828961885e-05,6,False,,,,,,,False
