company_id,month,obligacion_regular_falta,factura_recibida_vencida_90d,saldo_negativo,caja_agotandose,coste_financiero_disparado
COMP_0001,2026-06,,1.0,0.0,1.0,
COMP_0001,2026-07,,1.0,0.0,1.0,
COMP_0001,2026-08,,1.0,0.0,1.0,
COMP_0002,2025-02,,,0.0,1.0,
COMP_0002,2025-03,,,0.0,0.0,
COMP_0002,2025-04,,,0.0,0.0,
COMP_0002,2025-05,,,0.0,0.0,
COMP_0002,2025-06,,,0.0,0.0,
COMP_0002,2025-07,,,0.0,,
COMP_0002,2025-08,,,0.0,,
COMP_0002,2025-09,,,0.0,,
COMP_0002,2025-10,,,0.0,,
COMP_0002,2025-11,,,0.0,,
COMP_0002,2025-12,,,0.0,,
COMP_0002,2026-01,,,0.0,,
COMP_0002,2026-02,,,0.0,,
COMP_0002,2026-03,,,0.0,,
COMP_0002,2026-04,,,0.0,,
COMP_0002,2026-05,,,0.0,,
COMP_0002,2026-06,,,0.0,,
COMP_0002,2026-07,,,0.0,,
COMP_0002,2026-08,,,0.0,,
COMP_0003,2026-06,,0.0,0.0,0.0,
COMP_0003,2026-07,,0.0,0.0,0.0,
COMP_0003,2026-08,,0.0,0.0,0.0,
COMP_0004,2026-05,,0.0,0.0,0.0,
COMP_0004,2026-06,,0.0,0.0,1.0,
COMP_0004,2026-07,,0.0,0.0,1.0,
COMP_0004,2026-08,,0.0,0.0,1.0,
COMP_0005,2025-06,,,0.0,1.0,
COMP_0005,2025-07,,,0.0,0.0,
COMP_0005,2025-08,,,0.0,0.0,
COMP_0005,2025-09,,,0.0,1.0,
COMP_0005,2025-10,,,0.0,0.0,
COMP_0005,2025-11,,,0.0,1.0,
COMP_0005,2025-12,,,0.0,0.0,0.0
COMP_0005,2026-01,,,0.0,0.0,0.0
COMP_0005,2026-02,,,0.0,0.0,0.0
COMP_0005,2026-03,,,0.0,0.0,0.0
COMP_0005,2026-04,,,0.0,0.0,0.0
COMP_0005,2026-05,,,0.0,0.0,0.0
COMP_0005,2026-06,,,0.0,0.0,0.0
COMP_0005,2026-07,,,0.0,0.0,0.0
COMP_0005,2026-08,,,0.0,0.0,0.0
COMP_0006,2026-02,,0.0,0.0,0.0,
COMP_0006,2026-03,,0.0,0.0,0.0,
COMP_0006,2026-04,,0.0,0.0,0.0,
COMP_0006,2026-05,,0.0,0.0,1.0,
COMP_0006,2026-06,,0.0,0.0,0.0,
COMP_0006,2026-07,,0.0,0.0,1.0,
COMP_0006,2026-08,0.0,0.0,0.0,1.0,0.0
COMP_0007,2025-06,,,0.0,0.0,
COMP_0007,2025-07,,,0.0,0.0,
COMP_0007,2025-08,,,0.0,0.0,
COMP_0007,2025-09,,,0.0,0.0,
COMP_0007,2025-10,,,0.0,0.0,
COMP_0007,2025-11,,,0.0,0.0,
COMP_0007,2025-12,0.0,,0.0,0.0,0.0
COMP_0007,2026-01,0.0,,0.0,0.0,0.0
COMP_0007,2026-02,0.0,,0.0,0.0,0.0
COMP_0007,2026-03,0.0,,0.0,0.0,0.0
COMP_0007,2026-04,0.0,,0.0,0.0,0.0
COMP_0007,2026-05,0.0,,0.0,0.0,0.0
COMP_0007,2026-06,0.0,,0.0,1.0,0.0
COMP_0007,2026-07,0.0,,0.0,1.0,0.0
COMP_0007,2026-08,1.0,,0.0,1.0,0.0
COMP_0008,2026-02,,0.0,0.0,0.0,
COMP_0008,2026-03,,0.0,0.0,0.0,
COMP_0008,2026-04,,0.0,0.0,0.0,
COMP_0008,2026-05,,0.0,0.0,1.0,
COMP_0008,2026-06,,0.0,0.0,1.0,
COMP_0008,2026-07,,0.0,0.0,0.0,
COMP_0008,2026-08,0.0,0.0,0.0,0.0,0.0
COMP_0009,2025-02,,0.0,0.0,0.0,
COMP_0009,2025-03,,0.0,0.0,0.0,
COMP_0009,2025-04,,0.0,0.0,0.0,
COMP_0009,2025-05,,0.0,0.0,0.0,
COMP_0009,2025-06,,0.0,0.0,0.0,
COMP_0009,2025-07,,0.0,0.0,0.0,
COMP_0009,2025-08,0.0,0.0,0.0,0.0,0.0
COMP_0009,2025-09,0.0,0.0,0.0,0.0,0.0
COMP_0009,2025-10,0.0,0.0,0.0,0.0,0.0
COMP_0009,2025-11,0.0,0.0,0.0,0.0,0.0
COMP_0009,2025-12,0.0,0.0,0.0,0.0,0.0
COMP_0009,2026-01,0.0,0.0,0.0,0.0,0.0
COMP_0009,2026-02,1.0,0.0,0.0,0.0,0.0
COMP_0009,2026-03,0.0,0.0,0.0,1.0,0.0
COMP_0009,2026-04,0.0,0.0,1.0,1.0,0.0
COMP_0009,2026-05,1.0,0.0,1.0,1.0,0.0
COMP_0009,2026-06,0.0,0.0,1.0,1.0,0.0
COMP_0009,2026-07,0.0,0.0,0.0,0.0,0.0
COMP_0009,2026-08,0.0,0.0,0.0,1.0,0.0
COMP_0010,2025-02,,0.0,0.0,0.0,
COMP_0010,2025-03,,0.0,0.0,0.0,
COMP_0010,2025-04,,0.0,0.0,1.0,
COMP_0010,2025-05,,0.0,0.0,0.0,
COMP_0010,2025-06,,0.0,0.0,0.0,
COMP_0010,2025-07,,0.0,0.0,0.0,
COMP_0010,2025-08,0.0,0.0,0.0,0.0,0.0
COMP_0010,2025-09,0.0,0.0,0.0,0.0,0.0
COMP_0010,2025-10,0.0,1.0,0.0,1.0,0.0
COMP_0010,2025-11,0.0,1.0,0.0,0.0,0.0
COMP_0010,2025-12,0.0,1.0,0.0,0.0,0.0
COMP_0010,2026-01,0.0,0.0,0.0,0.0,0.0
COMP_0010,2026-02,0.0,0.0,0.0,1.0,0.0
COMP_0010,2026-03,0.0,0.0,0.0,1.0,0.0
COMP_0010,2026-04,0.0,0.0,0.0,0.0,0.0
COMP_0010,2026-05,0.0,0.0,0.0,0.0,0.0
COMP_0010,2026-06,0.0,0.0,0.0,0.0,0.0
COMP_0010,2026-07,0.0,0.0,0.0,0.0,0.0
COMP_0010,2026-08,0.0,1.0,0.0,1.0,0.0
COMP_0011,2026-05,,0.0,0.0,1.0,
COMP_0011,2026-06,,0.0,0.0,1.0,
COMP_0011,2026-07,,0.0,0.0,1.0,
COMP_0011,2026-08,,0.0,0.0,0.0,
COMP_0012,2026-01,,,0.0,1.0,
COMP_0012,2026-02,,,0.0,1.0,
COMP_0012,2026-03,,,0.0,1.0,
COMP_0012,2026-04,,,0.0,0.0,
COMP_0012,2026-05,,,0.0,0.0,
COMP_0012,2026-06,,,0.0,0.0,
COMP_0012,2026-07,,,0.0,1.0,0.0
COMP_0012,2026-08,,,0.0,1.0,0.0
COMP_0013,2026-05,,0.0,0.0,1.0,
COMP_0013,2026-06,,0.0,0.0,1.0,
COMP_0013,2026-07,,0.0,0.0,1.0,
COMP_0013,2026-08,,0.0,0.0,1.0,
COMP_0014,2026-06,,1.0,1.0,0.0,
COMP_0014,2026-07,,1.0,1.0,0.0,
COMP_0014,2026-08,,1.0,1.0,0.0,
COMP_0015,2025-09,,1.0,0.0,0.0,
COMP_0015,2025-10,,1.0,0.0,0.0,
COMP_0015,2025-11,,1.0,0.0,0.0,
COMP_0015,2025-12,,0.0,0.0,0.0,
COMP_0015,2026-01,,0.0,0.0,0.0,
COMP_0015,2026-02,,0.0,0.0,0.0,
COMP_0015,2026-03,,0.0,0.0,0.0,0.0
COMP_0015,2026-04,,0.0,0.0,0.0,0.0
COMP_0015,2026-05,,0.0,0.0,0.0,0.0
COMP_0015,2026-06,,0.0,0.0,0.0,0.0
COMP_0015,2026-07,,0.0,0.0,0.0,0.0
COMP_0015,2026-08,,0.0,0.0,0.0,0.0
COMP_0016,2025-02,,0.0,0.0,0.0,
COMP_0016,2025-03,,0.0,0.0,0.0,
COMP_0016,2025-04,,0.0,0.0,0.0,
COMP_0016,2025-05,,0.0,0.0,0.0,
COMP_0016,2025-06,,0.0,0.0,0.0,
COMP_0016,2025-07,,0.0,0.0,0.0,
COMP_0016,2025-08,,0.0,0.0,0.0,0.0
COMP_0016,2025-09,,0.0,0.0,0.0,0.0
COMP_0016,2025-10,,0.0,0.0,0.0,0.0
COMP_0016,2025-11,,0.0,0.0,0.0,0.0
COMP_0016,2025-12,,0.0,0.0,0.0,0.0
COMP_0016,2026-01,,0.0,0.0,0.0,0.0
COMP_0016,2026-02,,0.0,0.0,0.0,0.0
